country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent,GDP/2019 (Billions of US dollars)
Afghanistan,0,0,0,0,Asia,18.734
Albania,89,132,54,4.9,Europe,15.418
Algeria,25,0,14,0.7,Africa,172.781
Andorra,245,138,312,12.4,Europe,91.527
Angola,217,57,45,5.9,Africa,1.688
Antigua & Barbuda,102,128,45,4.9,North America,445.469
Argentina,193,25,221,8.3,South America,13.444
Armenia,21,179,11,3.8,Europe,2.903
Australia,261,72,212,10.4,Oceania,"1,376.26"
Austria,279,75,191,9.7,Europe,447.718
Azerbaijan,21,46,5,1.3,Europe,47.171
Bahamas,122,176,51,6.3,North America,12.664
Bahrain,42,63,7,2,Asia,38.184
Bangladesh,0,0,0,0,Asia,317.465
Barbados,143,173,36,6.3,North America,5.189
Belarus,142,373,42,14.4,Europe,62.572
Belgium,295,84,212,10.5,Europe,517.609
Belize,263,114,8,6.8,North America,2.001
Benin,34,4,13,1.1,Africa,14.374
Bhutan,23,0,0,0.4,Asia,2.842
Bolivia,167,41,8,3.8,South America,42.401
Bosnia-Herzegovina,76,173,8,4.6,Europe,20.106
Botswana,173,35,35,5.4,Africa,18.69
Brazil,245,145,16,7.2,South America,"1,847.02"
Brunei,31,2,1,0.6,Asia,12.455
Bulgaria,231,252,94,10.3,Europe,66.25
Burkina Faso,25,7,7,4.3,Africa,14.593
Burundi,88,0,0,6.3,Africa,3.573
Cote d'Ivoire,37,1,7,4,Africa,2.013
Cabo Verde,144,56,16,4,Africa,26.73
Cambodia,57,65,1,2.2,Asia,38.632
Cameroon,147,1,4,5.8,Africa,"1,730.91"
Canada,240,122,100,8.2,North America,2.321
Central African Republic,17,2,1,1.8,Africa,11.026
Chad,15,1,1,0.4,Africa,294.237
Chile,130,124,172,7.6,South America,"14,140.16"
China,79,192,8,5,Asia,327.895
Colombia,159,76,3,4.2,South America,1.179
Comoros,1,3,1,0.1,Africa,48.994
Congo,76,1,9,1.7,Africa,11.576
Cook Islands,0,254,74,5.9,Oceania,61.021
Costa Rica,149,87,11,4.4,North America,44.439
Croatia,230,87,254,10.2,Europe,60.702
Cuba,93,137,5,4.2,North America,24.28
Cyprus,192,154,113,8.2,Europe,246.953
Czech Republic,361,170,134,11.8,Europe,347.176
North Korea,0,0,0,0,Asia,3.166
DR Congo,32,3,1,2.3,Africa,0.593
Denmark,224,81,278,10.4,Europe,89.475
Djibouti,15,44,3,1.1,Africa,107.914
Dominica,52,286,26,6.6,North America,302.256
Dominican Republic,193,147,9,6.2,North America,26.871
Ecuador,162,74,3,4.2,South America,12.142
Egypt,6,4,1,0.2,Africa,2.11
El Salvador,52,69,2,2.2,North America,31.038
Equatorial Guinea,92,0,233,5.8,Africa,4.657
Eritrea,18,0,0,0.5,Africa,91.166
Estonia,224,194,59,9.5,Europe,5.708
Ethiopia,20,3,0,0.7,Africa,269.654
Fiji,77,35,1,2,Oceania,"2,707.07"
Finland,263,133,97,10,Europe,16.877
France,127,151,370,11.8,Europe,1.773
Gabon,347,98,59,8.9,Africa,15.925
Gambia,8,0,1,2.4,Africa,"3,863.34"
Georgia,52,100,149,5.4,Europe,67.077
Germany,346,117,175,11.3,Europe,214.012
Ghana,31,3,10,1.8,Africa,1.238
Greece,133,112,218,8.3,Europe,81.318
Grenada,199,438,28,11.9,North America,13.368
Guatemala,53,69,2,2.2,North America,1.397
Guinea,9,0,2,0.2,Africa,4.121
Guinea-Bissau,28,31,21,2.5,Africa,8.819
Guyana,93,302,1,7.1,South America,24.449
Haiti,1,326,1,5.9,North America,372.989
Honduras,69,98,2,3,North America,170.407
Hungary,234,215,185,11.3,Europe,23.918
Iceland,233,61,78,6.6,Europe,"2,935.57"
India,9,114,0,2.2,Asia,"1,111.71"
Indonesia,5,1,0,0.1,Asia,458.5
Iran,0,0,0,0,Asia,224.462
Iraq,9,3,0,0.2,Asia,384.94
Ireland,313,118,165,11.4,Europe,387.717
Israel,63,69,9,2.5,Asia,"1,988.64"
Italy,85,42,237,6.5,Europe,15.702
Jamaica,82,97,9,3.4,North America,"5,154.48"
Japan,77,202,16,7,Asia,44.172
Jordan,6,21,1,0.5,Asia,170.326
Kazakhstan,124,246,12,6.8,Asia,98.607
Kenya,58,22,2,1.8,Africa,0.184
Kiribati,21,34,1,1,Oceania,"1,629.53"
Kuwait,0,0,0,0,Asia,7.996
Kyrgyzstan,31,97,6,2.4,Asia,137.591
Laos,62,0,123,6.2,Asia,8.261
Latvia,281,216,62,10.5,Europe,19.127
Lebanon,20,55,31,1.9,Asia,35.045
Lesotho,82,29,0,2.8,Africa,58.565
Liberia,19,152,2,3.1,Africa,2.741
Libya,0,0,0,0,Africa,3.222
Lithuania,343,244,56,12.9,Europe,33.018
Luxembourg,236,133,271,11.4,Europe,53.641
Madagascar,26,15,4,0.8,Africa,69.453
Malawi,8,11,1,1.5,Africa,55.136
Malaysia,13,4,0,0.3,Asia,12.55
Maldives,0,0,0,0,Asia,7.522
Mali,5,1,1,0.6,Africa,365.303
Malta,149,100,120,6.6,Europe,5.786
Marshall Islands,0,0,0,0,Oceania,17.647
Mauritania,0,0,0,0,Africa,14.859
Mauritius,98,31,18,2.6,Africa,0.22
Mexico,238,68,5,5.5,North America,5.651
Micronesia,62,50,18,2.3,Oceania,14.391
Monaco,0,0,0,0,Europe,"1,274.18"
Mongolia,77,189,8,4.9,Asia,0.381
Montenegro,31,114,128,4.9,Europe,11.688
Morocco,12,6,10,0.5,Africa,13.637
Mozambique,47,18,5,1.3,Africa,5.424
Myanmar,5,1,0,0.1,Asia,119.04
Namibia,376,3,1,6.8,Africa,15.093
Nauru,49,0,8,1,Oceania,65.994
Nepal,5,6,0,0.2,Asia,14.368
Netherlands,251,88,190,9.4,Europe,0.108
New Zealand,203,79,175,9.3,Oceania,29.813
Nicaragua,78,118,1,3.5,North America,902.355
Niger,3,2,1,0.1,Africa,204.671
Nigeria,42,5,2,9.1,Africa,12.528
Niue,188,200,7,7,Oceania,9.443
Norway,169,71,129,6.7,Europe,446.543
Oman,22,16,1,0.7,Asia,12.672
Pakistan,0,0,0,0,Asia,417.627
Palau,306,63,23,6.9,Oceania,76.609
Panama,285,104,18,7.2,North America,284.214
Papua New Guinea,44,39,1,1.5,Oceania,0.291
Paraguay,213,117,74,7.3,South America,68.536
Peru,163,160,21,6.1,South America,23.587
Philippines,71,186,1,4.6,Asia,40.714
Poland,343,215,56,10.9,Europe,228.989
Portugal,194,67,339,11,Europe,356.814
Qatar,1,42,7,0.9,Asia,565.854
South Korea,140,16,9,9.8,Asia,236.408
Moldova,109,226,18,6.3,Europe,99.913
Romania,297,122,167,10.4,Europe,191.849
Russian Federation,247,326,73,11.5,Asia,243.698
Rwanda,43,2,0,6.8,Africa,"1,637.89"
St. Kitts & Nevis,194,205,32,7.7,North America,10.209
St. Lucia,171,315,71,10.1,North America,0.905
St. Vincent & the Grenadines,120,221,11,6.3,North America,1.591
Samoa,105,18,24,2.6,Oceania,0.43
San Marino,0,0,0,0,Europe,779.289
Sao Tome & Principe,56,38,140,4.2,Africa,23.94
Saudi Arabia,0,5,0,0.1,Asia,51.523
Senegal,9,1,7,0.3,Africa,1.644
Serbia,283,131,127,9.6,Europe,4.229
Seychelles,157,25,51,4.1,Africa,362.818
Sierra Leone,25,3,2,6.7,Africa,106.552
Singapore,60,12,11,1.5,Asia,54.154
Slovakia,196,293,116,11.4,Europe,1.44
Slovenia,270,51,276,10.6,Europe,4.958
Solomon Islands,56,11,1,1.2,Oceania,358.839
Somalia,0,0,0,0,Africa,3.681
South Africa,225,76,81,8.2,Africa,"1,397.87"
Spain,284,157,112,10,Europe,86.566
Sri Lanka,16,104,0,2.2,Asia,1.032
Sudan,8,13,0,1.7,Africa,1.992
Suriname,128,178,7,5.6,South America,0.856
Swaziland,90,2,2,4.7,Africa,30.873
Sweden,152,60,186,7.2,Europe,3.774
Switzerland,185,100,280,10.2,Europe,528.929
Syria,5,35,16,1,Asia,715.36
Tajikistan,2,15,0,0.3,Asia,n/a
Thailand,99,258,1,6.4,Asia,586.104
Macedonia,106,27,86,3.9,Europe,8.152
Timor-Leste,1,1,4,0.1,Asia,62.224
Togo,36,2,19,1.3,Africa,529.177
Tonga,36,21,5,1.1,Oceania,2.938
Trinidad & Tobago,197,156,7,6.4,North America,5.502
Tunisia,51,3,20,1.3,Africa,0.488
Turkey,51,22,7,1.4,Asia,22.607
Turkmenistan,19,71,32,2.2,Asia,38.732
Tuvalu,6,41,9,1,Oceania,743.708
Uganda,45,9,0,8.3,Africa,46.674
Ukraine,206,237,45,8.9,Europe,0.042
United Arab Emirates,16,135,5,2.8,Asia,30.666
United Kingdom,219,126,195,10.4,Europe,150.401
Tanzania,36,6,1,5.7,Africa,405.771
USA,249,158,84,8.7,North America,"2,743.59"
Uruguay,115,35,220,6.6,South America,"21,439.45"
Uzbekistan,25,101,8,2.4,Asia,59.918
Vanuatu,21,18,11,0.9,Oceania,60.49
Venezuela,333,100,3,7.7,South America,0.951
Vietnam,111,2,1,2,Asia,70.14
Yemen,6,0,0,0.1,Asia,261.637
Zambia,32,19,4,2.5,Africa,29.855
Zimbabwe,64,18,4,4.7,Africa,23.946
,,,,,,12.818
